protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
"P04911, P04912",1.24,1.89,4.87,"[13696.2, 20990.1, 53969.6]",88655.9,0.31 ,0.92 ,2.28 
P15019,1.02,2.2,4.78,"[121113.6, 262190.8, 568116.7]",951421.1,0.03 ,1.14 ,2.26 
P0C5R4,1.42,3.09,3.48,"[7037.4, 15278.8, 17215.7]",39531.9,0.51 ,1.63 ,1.80 
P23748,0.77,2.36,4.87,"[7032.1, 21476.5, 44344.9]",72853.5,-0.38 ,1.24 ,2.28 
"P23248, P33442",1,2.13,4.87,"[311646.2, 661291.9, 1511337.8]",2484275.9,0.00 ,1.09 ,2.28 
P00560,1.03,2.07,4.9,"[1541974.8, 3112179.5, 7371505.9]",12025660.2,0.04 ,1.05 ,2.29 
P36775,0.88,1.3,5.81,"[2320.7, 3427.6, 15271.5]",21019.8,-0.18 ,0.38 ,2.54 
"P0C0V8, Q3E754",1.17,2.24,4.59,"[109429.6, 209277.8, 427931.5]",746638.9,0.23 ,1.16 ,2.20 
P38088,1.17,1.97,4.86,"[24925.5, 42001.5, 103702.2]",170629.2,0.23 ,0.98 ,2.28 
"P0CX41, P0CX42",1.06,1.9,5.04,"[102281.6, 183603.1, 486424.1]",772308.8,0.08 ,0.93 ,2.33 
P14126,1.13,2.11,4.76,"[191190.3, 357455.2, 804000.4]",1352645.9,0.18 ,1.08 ,2.25 
"P02293, P02294",0.99,2.09,4.92,"[83221.8, 176134.0, 414150.4]",673506.2,-0.01 ,1.06 ,2.30 
P25491,1.11,2.06,4.83,"[42013.5, 78279.8, 183133.0]",303426.3,0.15 ,1.04 ,2.27 
"P00924, P00925",0.94,1.98,5.08,"[287421.7, 605496.1, 1554493.0]",2447410.8,-0.09 ,0.99 ,2.34 
"P0CX37, P0CX38",0.66,3.59,3.75,"[55458.1, 300215.7, 313275.3]",668949.1,-0.60 ,1.84 ,1.91 
"P05744, P41056",0.96,2.06,4.98,"[476692.7, 1024713.2, 2475320.9]",3976726.8,-0.06 ,1.04 ,2.32 
P39683,1.4,2.61,3.99,"[35280.1, 65861.1, 100581.1]",201722.3,0.49 ,1.38 ,2.00 
P04807,1.02,2,4.98,"[441525.6, 865605.6, 2160000.9]",3467132.1,0.03 ,1.00 ,2.32 
P07262,0.86,2.11,5.02,"[13274.8, 32527.7, 77242.5]",123045,-0.22 ,1.08 ,2.33 
O14467,0.95,1.97,5.08,"[190414.6, 393254.4, 1017248.7]",1600917.7,-0.07 ,0.98 ,2.34 
"P10591, P10592",1.01,2.07,4.92,"[170258.8, 348337.4, 828301.1]",1346897.3,0.01 ,1.05 ,2.30 
P25338,1.01,3.88,3.11,"[2867.8, 10988.9, 8807.1]",22663.8,0.01 ,1.96 ,1.64 
P32844,2.3,4.02,1.68,"[14607.5, 25503.2, 10663.1]",50773.8,1.20 ,2.01 ,0.75 
Q08645,0.72,2.04,5.25,"[6432.4, 18305.9, 47146.6]",71884.9,-0.47 ,1.03 ,2.39 
P43580,1.12,2.13,4.74,"[28174.5, 53407.2, 118893.2]",200474.9,0.16 ,1.09 ,2.24 
Q12159,1.14,2.23,4.63,"[61593.6, 120327.8, 249993.7]",431915.1,0.19 ,1.16 ,2.21 
P00445,0.99,2.07,4.94,"[67251.0, 140803.9, 335962.8]",544017.7,-0.01 ,1.05 ,2.30 
Q04947,1.11,1.8,5.09,"[7258.0, 11839.9, 33388.4]",52486.3,0.15 ,0.85 ,2.35 
P0CS90,1.06,2.1,4.84,"[228658.2, 456082.0, 1049015.4]",1733755.6,0.08 ,1.07 ,2.28 
P53935,1.22,2,4.79,"[9687.4, 15912.7, 38156.4]",63756.5,0.29 ,1.00 ,2.26 
Q08236,1.01,1.75,5.23,"[15393.5, 26607.6, 79356.3]",121357.4,0.01 ,0.81 ,2.39 
P25294,2.37,1.9,3.73,"[19308.7, 15499.5, 30355.8]",65164,1.24 ,0.93 ,1.90 
Q07527,2.05,5.31,0.63,"[18453.9, 47701.5, 5696.5]",71851.9,1.04 ,2.41 ,-0.67 
P49960,1.21,2.78,4.01,"[12428.5, 28682.7, 41373.6]",82484.8,0.28 ,1.48 ,2.00 
Q12267,0.45,2.61,4.93,"[2208.9, 12725.6, 24042.1]",38976.6,-1.15 ,1.38 ,2.30 
P49090,1.03,1.51,5.46,"[4155.5, 6102.1, 22084.6]",32342.2,0.04 ,0.59 ,2.45 
P40495,0.83,1.45,5.72,"[6759.7, 11854.8, 46772.3]",65386.8,-0.27 ,0.54 ,2.52 
P16521,1.01,2.17,4.82,"[300653.7, 642450.4, 1427474.2]",2370578.3,0.01 ,1.12 ,2.27 
P05318,1.12,2.12,4.76,"[49106.7, 93464.2, 209710.5]",352281.4,0.16 ,1.08 ,2.25 
P33338,0.79,4.16,3.05,"[1871.3, 9828.6, 7210.8]",18910.7,-0.34 ,2.06 ,1.61 
P38013,1.24,1.99,4.78,"[196187.1, 315650.4, 758910.4]",1270747.9,0.31 ,0.99 ,2.26 
P41832,0.61,2.12,5.27,"[14903.2, 52109.8, 129515.2]",196528.2,-0.71 ,1.08 ,2.40 
P25087,0.89,2.29,4.82,"[43207.4, 111522.7, 234112.0]",388842.1,-0.17 ,1.20 ,2.27 
"P0CX82, P0CX83",0.91,2.08,5.01,"[336369.0, 765283.4, 1846311.2]",2947963.6,-0.14 ,1.06 ,2.32 
P29952,1.1,2.17,4.73,"[107268.2, 211050.5, 459752.4]",778071.1,0.14 ,1.12 ,2.24 
"P05743, P53221",0.85,2.67,4.49,"[401254.3, 1266452.1, 2128145.1]",3795851.5,-0.23 ,1.42 ,2.17 
P07245,0.88,2.16,4.95,"[76316.3, 187156.8, 428284.9]",691758,-0.18 ,1.11 ,2.31 
Q12219,1.04,2.19,4.77,"[59672.7, 126121.0, 275085.3]",460879,0.06 ,1.13 ,2.25 
P41940,0.77,1.88,5.34,"[3538.7, 8641.5, 24514.7]",36694.9,-0.38 ,0.91 ,2.42 
P22203,0.99,1.92,5.09,"[38303.5, 74547.4, 197207.6]",310058.5,-0.01 ,0.94 ,2.35 
P31539,0.97,2.06,4.97,"[299227.6, 636751.5, 1536492.5]",2472471.6,-0.04 ,1.04 ,2.31 
"P02829, P15108",0.92,2.03,5.05,"[116260.7, 256352.8, 637547.6]",1010161.1,-0.12 ,1.02 ,2.34 
P07244,0.85,2.3,4.84,"[28456.0, 76677.0, 161187.7]",266320.7,-0.23 ,1.20 ,2.28 
Q12511,2.13,5.5,0.37,"[17568.4, 45312.3, 3025.2]",65905.9,1.09 ,2.46 ,-1.43 
P23301,0.72,2.19,5.09,"[6194.0, 18785.9, 43664.2]",68644.1,-0.47 ,1.13 ,2.35 
"P0CX35, P0CX36",1.02,2.02,4.96,"[285297.3, 566530.2, 1389402.4]",2241229.9,0.03 ,1.01 ,2.31 
P38624,1.02,2.06,4.92,"[41977.4, 84739.6, 202353.0]",329070,0.03 ,1.04 ,2.30 
P41338,0.97,2.14,4.89,"[17367.8, 38120.3, 87288.6]",142776.7,-0.04 ,1.10 ,2.29 
P38144,1.26,2.56,4.18,"[94192.0, 192206.0, 313547.5]",599945.5,0.33 ,1.36 ,2.06 
P06738,0.91,1.99,5.1,"[18697.8, 40791.7, 104544.3]",164033.8,-0.14 ,0.99 ,2.35 
P14540,0.93,2.1,4.97,"[269904.0, 607949.2, 1438840.9]",2316694.1,-0.10 ,1.07 ,2.31 
P25443,1.77,4.46,1.76,"[17016.4, 42825.0, 16908.5]",76749.9,0.82 ,2.16 ,0.82 
P27616,1.23,3.26,3.51,"[52376.1, 138757.9, 149594.3]",340728.3,0.30 ,1.70 ,1.81 
"P0CX84, P0CX85",0.93,2.41,4.65,"[326120.3, 845535.6, 1630200.2]",2801856.1,-0.10 ,1.27 ,2.22 
P47068,1.15,2.15,4.71,"[10713.3, 20055.9, 43970.4]",74739.6,0.20 ,1.10 ,2.24 
P38427,0.83,1.65,5.52,"[9379.1, 18748.9, 62604.7]",90732.7,-0.27 ,0.72 ,2.46 
P40476,0.5,2.02,5.48,"[5304.5, 21376.0, 58073.1]",84753.6,-1.00 ,1.01 ,2.45 
P32454,1.21,2.45,4.35,"[62408.7, 126327.1, 224569.5]",413305.3,0.28 ,1.29 ,2.12 
P00950,1.04,2.09,4.87,"[222445.9, 447548.6, 1040427.3]",1710421.8,0.06 ,1.06 ,2.28 
P37262,0.6,2.36,5.04,"[3132.8, 12236.9, 26131.3]",41501,-0.74 ,1.24 ,2.33 
P46367,0.98,2.02,5,"[36621.5, 75901.9, 187695.7]",300219.1,-0.03 ,1.01 ,2.32 
Q12276,1.95,2.83,3.22,"[40550.3, 58839.5, 66996.2]",166386,0.96 ,1.50 ,1.69 
P05453,1.62,3.35,3.04,"[21733.1, 44945.1, 40775.0]",107453.2,0.70 ,1.74 ,1.60 
P54115,0.94,2.21,4.85,"[261258.1, 615444.0, 1352585.1]",2229287.2,-0.09 ,1.14 ,2.28 
"Q02753, Q12672",0.97,2.09,4.94,"[561202.1, 1207939.9, 2855361.7]",4624503.7,-0.04 ,1.06 ,2.30 
"P05739, Q02326",0.72,2.49,4.79,"[6788.3, 23516.0, 45274.3]",75578.6,-0.47 ,1.32 ,2.26 
"O14455, P05745",1.01,2.08,4.91,"[64328.4, 132331.1, 312004.2]",508663.7,0.01 ,1.06 ,2.30 
P17883,4.63,2.79,0.58,"[26002.1, 15689.2, 3272.0]",44963.3,2.21 ,1.48 ,-0.79 
P60010,0.98,2.17,4.84,"[314999.6, 694033.1, 1549486.8]",2558519.5,-0.03 ,1.12 ,2.28 
P46995,0.73,2.62,4.66,"[1332.5, 4802.4, 8540.5]",14675.4,-0.45 ,1.39 ,2.22 
P34244,0.85,2.07,5.08,"[16995.4, 41521.5, 102063.8]",160580.7,-0.23 ,1.05 ,2.34 
P46655,0.85,2.17,4.99,"[126978.4, 324958.8, 748034.1]",1199971.3,-0.23 ,1.12 ,2.32 
P00549,1.03,2.19,4.77,"[249725.6, 529909.6, 1152572.0]",1932207.2,0.04 ,1.13 ,2.25 
P06169,1.02,2.02,4.96,"[1000097.5, 1974598.7, 4844070.9]",7818767.1,0.03 ,1.01 ,2.31 
"P10664, P49626",0.93,2.11,4.96,"[186800.7, 423742.1, 996184.5]",1606727.3,-0.10 ,1.08 ,2.31 
P49089,0.99,1.87,5.14,"[22339.9, 42360.4, 116262.2]",180962.5,-0.01 ,0.90 ,2.36 
P40578,0.75,2.21,5.04,"[3978.6, 11743.0, 26776.9]",42498.5,-0.42 ,1.14 ,2.33 
"P07280, P07281",1.01,2.09,4.9,"[179057.2, 372251.3, 872345.0]",1423653.5,0.01 ,1.06 ,2.29 
P02994,1.02,2.19,4.79,"[210175.1, 454363.2, 991492.2]",1656030.5,0.03 ,1.13 ,2.26 
P05750,1.14,2.21,4.66,"[45135.8, 87641.3, 185061.2]",317838.3,0.19 ,1.14 ,2.22 
Q08962,0.58,2.08,5.34,"[4537.6, 16355.9, 41874.5]",62768,-0.79 ,1.06 ,2.42 
P09232,1.22,1.78,5,"[13723.3, 20002.3, 56219.6]",89945.2,0.29 ,0.83 ,2.32 
Q05911,1.04,1.98,4.99,"[121008.3, 230815.2, 582646.0]",934469.5,0.06 ,0.99 ,2.32 
Q06497,1,2.14,4.86,"[48461.1, 103044.0, 234258.3]",385763.4,0.00 ,1.10 ,2.28 
P04456,0.61,1.92,5.48,"[2728.0, 8651.4, 24679.6]",36059,-0.71 ,0.94 ,2.45 
P00817,0.93,2.15,4.93,"[116311.8, 269327.2, 618759.2]",1004398.2,-0.10 ,1.10 ,2.30 
P18239,0.93,2.13,4.94,"[29682.2, 68108.7, 157932.9]",255723.8,-0.10 ,1.09 ,2.30 
Q02197,0.91,2.34,4.75,"[27451.9, 70720.0, 143218.0]",241389.9,-0.14 ,1.23 ,2.25 
P37291,1.11,2.17,4.72,"[323505.0, 629105.1, 1371681.2]",2324291.3,0.15 ,1.12 ,2.24 
Q00955,0.85,2.21,4.95,"[53353.1, 139295.3, 312183.5]",504831.9,-0.23 ,1.14 ,2.31 
P47075,1.05,1.99,4.96,"[92177.9, 175527.7, 437145.6]",704851.2,0.07 ,0.99 ,2.31 
P38230,0.96,3.42,3.62,"[4034.3, 14398.8, 15239.8]",33672.9,-0.06 ,1.77 ,1.86 
P48015,1,2.24,4.76,"[52139.3, 117048.6, 248546.9]",417734.8,0.00 ,1.16 ,2.25 
P40024,0.92,2.23,4.85,"[63238.0, 152710.3, 332620.0]",548568.3,-0.12 ,1.16 ,2.28 
P00358,1.03,2.13,4.84,"[1205809.4, 2484412.8, 5654501.6]",9344723.8,0.04 ,1.09 ,2.28 
P22803,1.11,2.31,4.58,"[358247.2, 745304.1, 1480083.5]",2583634.8,0.15 ,1.21 ,2.20 
P39986,1.37,2,4.62,"[45029.3, 65594.0, 151567.8]",262191.1,0.45 ,1.00 ,2.21 
"P06367, P39516",1.05,2.05,4.91,"[357189.4, 696877.8, 1671937.6]",2726004.8,0.07 ,1.04 ,2.30 
Q08179,1.48,2.16,4.36,"[8748.3, 12748.3, 25801.8]",47298.4,0.57 ,1.11 ,2.12 
P48589,1.17,2,4.83,"[69275.1, 118978.6, 287000.1]",475253.8,0.23 ,1.00 ,2.27 
P38219,1.21,1.93,4.86,"[16542.4, 26384.4, 66394.9]",109321.7,0.28 ,0.95 ,2.28 
P53169,0.58,1.82,5.6,"[4220.0, 13169.8, 40469.3]",57859.1,-0.79 ,0.86 ,2.49 
P08566,1.17,2.11,4.72,"[7886.1, 14245.2, 31913.0]",54044.3,0.23 ,1.08 ,2.24 
P00958,0.83,2.21,4.96,"[88845.1, 236623.4, 531002.5]",856471,-0.27 ,1.14 ,2.31 
P21264,1.16,2.18,4.66,"[22347.0, 41913.8, 89868.3]",154129.1,0.21 ,1.12 ,2.22 
P16861,1,2.1,4.89,"[27199.3, 56976.7, 132397.5]",216573.5,0.00 ,1.07 ,2.29 
P40210,2.81,4.85,0.35,"[12827.1, 22159.6, 1591.2]",36577.9,1.49 ,2.28 ,-1.51 
P09436,1.08,2.11,4.81,"[19571.9, 38184.1, 86955.0]",144711,0.11 ,1.08 ,2.27 
P05694,1.43,2.03,4.54,"[222082.2, 315831.7, 706619.4]",1244533.3,0.52 ,1.02 ,2.18 
"P0C2H6, P0C2H7",1.02,1.92,5.05,"[104041.3, 195044.6, 513317.1]",812403,0.03 ,0.94 ,2.34 
P07259,1.08,2.25,4.67,"[121292.9, 253789.8, 525422.8]",900505.5,0.11 ,1.17 ,2.22 
P36224,0.46,2.44,5.1,"[10498.2, 55152.7, 115220.7]",180871.6,-1.12 ,1.29 ,2.35 
P00360,1.06,2.04,4.9,"[461070.9, 892523.1, 2138841.7]",3492435.7,0.08 ,1.03 ,2.29 
P39976,0.78,1.73,5.48,"[2510.8, 5570.7, 17605.2]",25686.7,-0.36 ,0.79 ,2.45 
P39524,1.4,3.58,3.02,"[3405.2, 8724.9, 7351.1]",19481.2,0.49 ,1.84 ,1.59 
P28241,1.06,1.86,5.09,"[51623.8, 90772.3, 248810.9]",391207,0.08 ,0.90 ,2.35 
P26783,1.12,2.16,4.72,"[59792.5, 115995.7, 253087.5]",428875.7,0.16 ,1.11 ,2.24 
P40825,1.24,2.07,4.7,"[1634.4, 2730.9, 6202.9]",10568.2,0.31 ,1.05 ,2.23 
P43637,1.8,2.44,3.77,"[11839.1, 16061.3, 24852.4]",52752.8,0.85 ,1.29 ,1.91 
P02400,0.93,2.12,4.96,"[23140.0, 52667.7, 123403.4]",199211.1,-0.10 ,1.08 ,2.31 
P46680,1,2.09,4.91,"[27977.3, 58628.8, 137768.1]",224374.2,0.00 ,1.06 ,2.30 
P38338,1.62,4.49,1.89,"[102444.3, 284640.7, 119506.9]",506591.9,0.70 ,2.17 ,0.92 
P17076,0.98,2.14,4.88,"[99881.8, 218667.1, 499357.9]",817906.8,-0.03 ,1.10 ,2.29 
P36052,0.51,2.46,5.03,"[25476.6, 122510.9, 250618.5]",398606,-0.97 ,1.30 ,2.33 
P12945,1.09,1.75,5.17,"[68097.0, 109527.0, 324066.3]",501690.3,0.12 ,0.81 ,2.37 
P38042,1.75,3.62,2.63,"[32477.3, 67312.7, 48799.5]",148589.5,0.81 ,1.86 ,1.40 
P39722,0.59,1.88,5.53,"[4850.2, 15521.2, 45652.8]",66024.2,-0.76 ,0.91 ,2.47 
P32896,0.83,1.83,5.33,"[7398.3, 16330.1, 47484.6]",71213,-0.27 ,0.87 ,2.41 
P38250,0.89,2.08,5.03,"[22481.3, 52647.0, 126967.3]",202095.6,-0.17 ,1.06 ,2.33 
P12709,1.13,2.2,4.67,"[484285.7, 939650.6, 2000127.5]",3424063.8,0.18 ,1.14 ,2.22 
P00498,1.14,1.76,5.11,"[6812.8, 10525.1, 30637.6]",47975.5,0.19 ,0.82 ,2.35 
P26784,0.97,2.07,4.96,"[75770.1, 162805.5, 389192.9]",627768.5,-0.04 ,1.05 ,2.31 
P37012,1.08,1.97,4.95,"[126273.2, 230266.6, 577779.3]",934319.1,0.11 ,0.98 ,2.31 
P19735,1.53,1.89,4.58,"[5532.4, 6846.3, 16538.1]",28916.8,0.61 ,0.92 ,2.20 
P32527,1.04,2.05,4.91,"[132684.2, 261382.2, 626119.4]",1020185.8,0.06 ,1.04 ,2.30 
P19097,1.1,1.95,4.95,"[181472.4, 319935.5, 812656.9]",1314064.8,0.14 ,0.96 ,2.31 
P04806,0.96,2.16,4.89,"[243863.7, 550312.7, 1247487.9]",2041664.3,-0.06 ,1.11 ,2.29 
Q02892,0.43,2.95,4.63,"[27310.4, 188555.2, 295818.5]",511684.1,-1.22 ,1.56 ,2.21 
P41277,1.14,2.12,4.75,"[66169.0, 123246.1, 276490.6]",465905.7,0.19 ,1.08 ,2.25 
P04147,1.05,2.36,4.58,"[154009.1, 345509.1, 669291.9]",1168810.1,0.07 ,1.24 ,2.20 
P38766,1.08,3.93,2.99,"[36458.0, 132275.0, 100783.5]",269516.5,0.11 ,1.97 ,1.58 
P19882,1.03,2.15,4.82,"[179834.5, 374820.4, 840260.5]",1394915.4,0.04 ,1.10 ,2.27 
P38249,1.07,2.21,4.72,"[81467.7, 168481.3, 359354.9]",609303.9,0.10 ,1.14 ,2.24 
P22146,0.79,1.89,5.32,"[3037.7, 7292.7, 20497.4]",30827.8,-0.34 ,0.92 ,2.41 
Q03210,0.7,2.49,4.8,"[6747.6, 23891.1, 46000.9]",76639.6,-0.51 ,1.32 ,2.26 
P07149,1.13,1.09,5.78,"[2966.5, 2866.7, 15198.4]",21031.6,0.18 ,0.12 ,2.53 
"P05030, P19657",0.94,1.88,5.18,"[41979.9, 84214.8, 232232.9]",358427.6,-0.09 ,0.91 ,2.37 
P23639,1.02,1.75,5.22,"[5584.2, 9591.6, 28563.5]",43739.3,0.03 ,0.81 ,2.38 
P39726,0.65,2.2,5.14,"[5730.6, 19286.4, 44993.3]",70010.3,-0.62 ,1.14 ,2.36 
"P00358, P00359",1.24,2.28,4.48,"[281514.3, 518328.3, 1019761.7]",1819604.3,0.31 ,1.19 ,2.16 
P09880,0.5,1.01,6.49,"[9119.6, 18609.9, 119251.2]",146980.7,-1.00 ,0.01 ,2.70 
