protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
"P04449, P24000",0.97,2,5.03,"[78467.4, 161789.2, 407234.6]",647491.2,-0.04 ,1.00 ,2.33 
P38791,0.81,1.88,5.31,"[26208.1, 60348.9, 170882.0]",257439,-0.30 ,0.91 ,2.41 
P61830,0.68,1.86,5.46,"[232486.2, 640761.0, 1875970.3]",2749217.5,-0.56 ,0.90 ,2.45 
"P0CX55, P0CX56",1.06,2.75,4.19,"[58369.4, 151915.9, 231361.7]",441647,0.08 ,1.46 ,2.07 
P36024,0.98,3.12,3.91,"[3279.3, 10457.5, 13111.8]",26848.6,-0.03 ,1.64 ,1.97 
P38061,0.87,2.28,4.85,"[132842.0, 348646.9, 743013.3]",1224502.2,-0.20 ,1.19 ,2.28 
Q06218,0.69,2.3,5.01,"[3828.8, 12802.8, 27941.5]",44573.1,-0.54 ,1.20 ,2.32 
Q04847,1.34,3.28,3.38,"[91994.4, 225547.3, 232405.2]",549946.9,0.42 ,1.71 ,1.76 
"P0CX45, P0CX46",1.08,2.05,4.86,"[922661.6, 1748708.4, 4143785.6]",6815155.6,0.11 ,1.04 ,2.28 
P53184,1.03,2.09,4.89,"[172526.3, 350189.5, 819838.7]",1342554.5,0.04 ,1.06 ,2.29 
Q08931,3.11,1.74,3.15,"[3180.7, 1780.3, 3220.2]",8181.2,1.64 ,0.80 ,1.66 
P47089,1.06,2.16,4.78,"[38527.4, 78070.3, 173161.4]",289759.1,0.08 ,1.11 ,2.26 
P32861,0.61,1.46,5.93,"[4334.8, 10326.5, 42011.1]",56672.4,-0.71 ,0.55 ,2.57 
P07251,0.37,2.32,5.31,"[3331.2, 20848.6, 47788.9]",71968.7,-1.43 ,1.21 ,2.41 
O14455,0.99,2.12,4.88,"[133934.0, 286136.8, 657740.2]",1077811,-0.01 ,1.08 ,2.29 
P32589,0.91,2.15,4.94,"[153626.3, 363658.8, 836147.8]",1353432.9,-0.14 ,1.10 ,2.30 
Q12458,0.82,2.21,4.97,"[11030.5, 29849.6, 66938.7]",107818.8,-0.29 ,1.14 ,2.31 
Q12331,0.42,1.45,6.13,"[19961.8, 69151.8, 292496.8]",381610.4,-1.25 ,0.54 ,2.62 
P29453,0.92,2.08,5,"[5066.3, 11393.8, 27464.1]",43924.2,-0.12 ,1.06 ,2.32 
"P09435, P10591, P10592, P22202",0.95,1.89,5.16,"[65242.0, 130186.5, 355018.8]",550447.3,-0.07 ,0.92 ,2.37 
P05317,0.87,2.13,5.01,"[154067.1, 378366.5, 891144.2]",1423577.8,-0.20 ,1.09 ,2.32 
P39015,1.05,1.8,5.15,"[102804.3, 176003.1, 504793.6]",783601,0.07 ,0.85 ,2.36 
P53843,0.92,3.99,3.08,"[2139.2, 9262.3, 7147.3]",18548.8,-0.12 ,2.00 ,1.62 
P34216,0.96,2.16,4.88,"[10284.3, 23042.6, 52164.7]",85491.6,-0.06 ,1.11 ,2.29 
Q12220,1.34,1.86,4.8,"[16163.6, 22346.6, 57685.2]",96195.4,0.42 ,0.90 ,2.26 
P28003,1.12,1.8,5.08,"[5862.8, 9412.5, 26510.4]",41785.7,0.16 ,0.85 ,2.34 
P21595,1.65,3.61,2.74,"[6567.1, 14390.3, 10917.4]",31874.8,0.72 ,1.85 ,1.45 
"P0CX39, P0CX40",1.02,2.11,4.87,"[150029.3, 312257.3, 719428.0]",1181714.6,0.03 ,1.08 ,2.28 
P52910,0.93,2.22,4.85,"[56062.9, 134620.9, 293693.3]",484377.1,-0.10 ,1.15 ,2.28 
"P39003, P39004",0.89,2.11,5,"[68147.5, 161156.1, 381216.0]",610519.6,-0.17 ,1.08 ,2.32 
P05319,1.06,2.61,4.33,"[40815.9, 100135.8, 166564.4]",307516.1,0.08 ,1.38 ,2.11 
P41807,2.89,1.21,3.9,"[27487.9, 11479.6, 37072.1]",76039.6,1.53 ,0.28 ,1.96 
"P05759, P0CG63, P0CH08, P0CH09",1,2.06,4.94,"[45311.6, 93175.6, 223095.2]",361582.4,0.00 ,1.04 ,2.30 
Q02486,0.84,2.07,5.09,"[36630.8, 90636.7, 222674.9]",349942.4,-0.25 ,1.05 ,2.35 
P53691,0.95,2.03,5.03,"[16762.1, 35853.7, 88924.8]",141540.6,-0.07 ,1.02 ,2.33 
P21375,1.15,3.06,3.79,"[131531.2, 350150.6, 433598.7]",915280.5,0.20 ,1.61 ,1.92 
P38431,0.44,2.15,5.41,"[3266.8, 15778.3, 39745.4]",58790.5,-1.18 ,1.10 ,2.44 
P02406,1.18,1.59,5.23,"[42863.2, 58044.6, 190448.3]",291356.1,0.24 ,0.67 ,2.39 
P36076,2.68,4.64,0.68,"[49193.2, 85244.6, 12461.6]",146899.4,1.42 ,2.21 ,-0.56 
P26798,0.75,2.38,4.87,"[11593.9, 36923.8, 75677.5]",124195.2,-0.42 ,1.25 ,2.28 
P17536,0.6,2.34,5.06,"[3420.4, 13452.2, 29029.3]",45901.9,-0.74 ,1.23 ,2.34 
P08524,1.07,2.23,4.7,"[105834.1, 219722.3, 464193.7]",789750.1,0.10 ,1.16 ,2.23 
P41805,0.96,1.9,5.14,"[22383.3, 44610.2, 120503.7]",187497.2,-0.06 ,0.93 ,2.36 
P49723,0.97,2.22,4.81,"[41745.6, 95316.5, 207119.0]",344181.1,-0.04 ,1.15 ,2.27 
P38779,0.71,2.13,5.16,"[16761.0, 50240.7, 121531.4]",188533.1,-0.49 ,1.09 ,2.37 
P09624,0.87,2.11,5.02,"[12471.0, 30071.2, 71520.1]",114062.3,-0.20 ,1.08 ,2.33 
Q01532,1.13,2.37,4.5,"[23593.5, 49697.5, 94245.2]",167536.2,0.18 ,1.24 ,2.17 
"P0CX33, P0CX34",0.4,7.54,0.06,"[14587.0, 276478.7, 2301.7]",293367.4,-1.32 ,2.91 ,-4.06 
P22035,0.99,1.8,5.21,"[22589.2, 40981.1, 118535.4]",182105.7,-0.01 ,0.85 ,2.38 
Q12128,2.03,2.02,3.95,"[13794.7, 13692.4, 26874.6]",54361.7,1.02 ,1.01 ,1.98 
"P0CX53, P0CX54",1.06,2.12,4.81,"[41273.5, 82288.6, 186569.1]",310131.2,0.08 ,1.08 ,2.27 
P53874,1.67,5.17,1.16,"[3152.5, 9730.6, 2177.2]",15060.3,0.74 ,2.37 ,0.21 
P17505,1.4,1.48,5.12,"[5566.7, 5858.7, 20337.1]",31762.5,0.49 ,0.57 ,2.36 
P05759,1.1,1.93,4.97,"[9979.0, 17462.1, 45085.1]",72526.2,0.14 ,0.95 ,2.31 
P16474,0.98,2.24,4.78,"[80113.5, 183279.2, 391245.2]",654637.9,-0.03 ,1.16 ,2.26 
P41058,1.24,2.22,4.54,"[106365.9, 190954.5, 389503.3]",686823.7,0.31 ,1.15 ,2.18 
"P11076, P19146",1.04,2.45,4.52,"[4924.5, 11603.7, 21432.7]",37960.9,0.06 ,1.29 ,2.18 
P47046,1.27,3.15,3.58,"[20697.6, 51187.7, 58256.1]",130141.4,0.34 ,1.66 ,1.84 
"P0CX29, P0CX30",0.99,1.94,5.07,"[86468.0, 169481.9, 443101.5]",699051.4,-0.01 ,0.96 ,2.34 
P09938,0.99,1.74,5.26,"[2319.3, 4069.4, 12279.6]",18668.3,-0.01 ,0.80 ,2.40 
Q6Q547,0.84,2.24,4.92,"[17604.8, 46961.7, 102885.7]",167452.2,-0.25 ,1.16 ,2.30 
P39079,1.83,3.15,3.02,"[18973.8, 32642.7, 31274.2]",82890.7,0.87 ,1.66 ,1.59 
Q01560,1.04,2.11,4.85,"[122283.4, 248902.4, 571452.9]",942638.7,0.06 ,1.08 ,2.28 
P39969,1.3,1.38,5.32,"[3672.6, 3914.4, 15069.0]",22656,0.38 ,0.46 ,2.41 
P32473,0.97,2.08,4.95,"[24540.5, 52693.3, 125178.7]",202412.5,-0.04 ,1.06 ,2.31 
P05747,0.91,2.11,4.98,"[14227.6, 33135.8, 78033.7]",125397.1,-0.14 ,1.08 ,2.32 
P47143,1.02,1.16,5.82,"[4770.6, 5463.1, 27307.8]",37541.5,0.03 ,0.21 ,2.54 
P13856,0.46,2.67,4.87,"[1902.7, 10943.8, 19982.2]",32828.7,-1.12 ,1.42 ,2.28 
P33442,0.96,2.56,4.48,"[33641.6, 89690.9, 156787.4]",280119.9,-0.06 ,1.36 ,2.16 
Q3E760,0.69,2.24,5.07,"[12685.4, 41527.6, 93870.4]",148083.4,-0.54 ,1.16 ,2.34 
Q12497,0.5,2.23,5.27,"[3465.9, 15459.8, 36488.8]",55414.5,-1.00 ,1.16 ,2.40 
P15180,0.77,2.01,5.22,"[4597.7, 12092.0, 31341.6]",48031.3,-0.38 ,1.01 ,2.38 
"P00330, P00331",0.92,2.14,4.93,"[26235.3, 60932.6, 140114.1]",227282,-0.12 ,1.10 ,2.30 
Q02753,0.79,2,5.21,"[16516.6, 42085.3, 109401.7]",168003.6,-0.34 ,1.00 ,2.38 
Q08971,3.79,0.9,3.31,"[8567.2, 2024.8, 7474.7]",18066.7,1.92 ,-0.15 ,1.73 
P40202,0.74,2.2,5.05,"[21705.1, 64183.8, 147386.0]",233274.9,-0.43 ,1.14 ,2.34 
P50077,0.67,0.84,6.48,"[1418.9, 1771.0, 13635.2]",16825.1,-0.58 ,-0.25 ,2.70 
P32471,0.9,2.09,5.01,"[30219.2, 70334.5, 168677.7]",269231.4,-0.15 ,1.06 ,2.32 
P25293,1.8,4.48,1.72,"[56926.8, 141407.4, 54183.4]",252517.6,0.85 ,2.16 ,0.78 
"P32589, P32590",1.02,1.92,5.06,"[453640.3, 851210.9, 2247869.0]",3552720.2,0.03 ,0.94 ,2.34 
Q02642,0.77,1.83,5.4,"[14926.8, 35206.9, 104115.8]",154249.5,-0.38 ,0.87 ,2.43 
"O13535, O74302, P0C2I2, P0C2I3, P0C2I4, P0C2I5, P0C2I6, P0C2I8, P0C2I9, P0C2J0, P0C2J1, P0CX57, P0CX58, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX70, P0CX71, P0CX72, P0CX73, P0CX74, P0CX75, P0CX76, P47098, P47099, P47100, Q03434, Q03612, Q03619, Q03855, Q03856, Q04670, Q04706, Q04711, Q07793, Q12085, Q12088, Q12141, Q12193, Q12217, Q12269, Q12273, Q12316, Q12414, Q12441, Q12470, Q12485, Q6Q5H1, Q92392, Q92393, Q99231, Q99337",0.83,2.06,5.11,"[58405.5, 145107.0, 359819.1]",563331.6,-0.27 ,1.04 ,2.35 
"P0CH08, P0CH09",0.92,1.64,5.44,"[13231.8, 23453.3, 77993.5]",114678.6,-0.12 ,0.71 ,2.44 
P32799,0.56,1.73,5.71,"[6148.1, 19138.5, 63026.5]",88313.1,-0.84 ,0.79 ,2.51 
P50944,2.27,5.19,0.54,"[43226.4, 98867.5, 10208.6]",152302.5,1.18 ,2.38 ,-0.89 
P35719,0.99,2.01,5,"[59741.8, 121556.2, 302365.6]",483663.6,-0.01 ,1.01 ,2.32 
P07246,0.84,2.15,5.02,"[57356.5, 147443.1, 344240.5]",549040.1,-0.25 ,1.10 ,2.33 
P07267,0.95,1.92,5.13,"[27481.1, 55524.0, 148413.8]",231418.9,-0.07 ,0.94 ,2.36 
P23180,0.99,2.22,4.79,"[82067.2, 183087.1, 394893.3]",660047.6,-0.01 ,1.15 ,2.26 
P38130,1.67,2.74,3.59,"[15508.4, 25424.0, 33241.3]",74173.7,0.74 ,1.45 ,1.84 
P17709,1.13,2.1,4.78,"[113175.9, 210173.5, 479157.4]",802506.8,0.18 ,1.07 ,2.26 
Q04491,1.01,2.14,4.85,"[35468.0, 74937.6, 169580.6]",279986.2,0.01 ,1.10 ,2.28 
P25719,0.91,2.17,4.92,"[42195.8, 100014.9, 227006.2]",369216.9,-0.14 ,1.12 ,2.30 
P28789,0.88,3.18,3.94,"[4508.8, 16265.1, 20136.0]",40909.9,-0.18 ,1.67 ,1.98 
Q12396,1.9,4.77,1.33,"[35579.2, 89520.4, 24942.4]",150042,0.93 ,2.25 ,0.41 
P53107,0.68,2.3,5.02,"[4892.9, 16562.3, 36159.1]",57614.3,-0.56 ,1.20 ,2.33 
P17695,1.04,2.33,4.64,"[16681.3, 37517.6, 74669.7]",128868.6,0.06 ,1.22 ,2.21 
P07284,1.17,1.93,4.9,"[51959.3, 85572.1, 217405.0]",354936.4,0.23 ,0.95 ,2.29 
P48836,1.15,1.96,4.89,"[2655.8, 4532.1, 11313.7]",18501.6,0.20 ,0.97 ,2.29 
P05745,0.99,2.01,5,"[83939.8, 171478.7, 425762.4]",681180.9,-0.01 ,1.01 ,2.32 
P04840,1.15,1.93,4.92,"[57050.5, 95370.5, 243353.3]",395774.3,0.20 ,0.95 ,2.30 
Q12236,0.62,2.28,5.11,"[2539.5, 9352.1, 20972.5]",32864.1,-0.69 ,1.19 ,2.35 
Q08965,2.08,4.15,1.77,"[24820.8, 49552.6, 21160.1]",95533.5,1.06 ,2.05 ,0.82 
P10591,0.47,2.29,5.24,"[4584.1, 22124.7, 50599.8]",77308.6,-1.09 ,1.20 ,2.39 
Q12377,1.04,2.11,4.85,"[31085.1, 63212.0, 145033.0]",239330.1,0.06 ,1.08 ,2.28 
P15624,1.11,2.43,4.46,"[64669.8, 141452.7, 259175.2]",465297.7,0.15 ,1.28 ,2.16 
P00931,0.87,2.22,4.9,"[3703.6, 9447.8, 20842.4]",33993.8,-0.20 ,1.15 ,2.29 
P38910,0.65,2.28,5.06,"[6549.7, 22917.9, 50771.5]",80239.1,-0.62 ,1.19 ,2.34 
"P06169, P26263",0.81,2.25,4.94,"[4534.4, 12554.1, 27559.0]",44647.5,-0.30 ,1.17 ,2.30 
P36113,0.19,2.66,5.15,"[5256.2, 72594.5, 140758.7]",218609.4,-2.40 ,1.41 ,2.36 
Q12445,0.8,2,5.19,"[2852.2, 7119.0, 18457.0]",28428.2,-0.32 ,1.00 ,2.38 
P38616,0.94,2.24,4.82,"[73036.0, 174723.4, 376242.3]",624001.7,-0.09 ,1.16 ,2.27 
Q12402,1.12,2.31,4.56,"[76341.9, 157410.0, 310304.1]",544056,0.16 ,1.21 ,2.19 
P43621,1.05,2.14,4.81,"[20992.1, 42709.7, 96104.5]",159806.3,0.07 ,1.10 ,2.27 
P16120,1.05,2.04,4.91,"[68114.2, 131554.9, 317442.9]",517112,0.07 ,1.03 ,2.30 
P54114,1.24,1.78,4.97,"[7646.6, 10959.5, 30561.9]",49168,0.31 ,0.83 ,2.31 
P40212,1.11,2.12,4.77,"[130549.9, 248416.5, 560622.2]",939588.6,0.15 ,1.08 ,2.25 
P38720,0.9,2.31,4.79,"[53455.3, 137488.5, 285581.8]",476525.6,-0.15 ,1.21 ,2.26 
P05030,1.1,1.93,4.96,"[144490.5, 252683.7, 649352.6]",1046526.8,0.14 ,0.95 ,2.31 
P36060,0.95,1.8,5.26,"[19472.0, 36878.0, 107914.8]",164264.8,-0.07 ,0.85 ,2.40 
"P18238, P18239",1.1,2.2,4.7,"[40945.3, 82033.3, 174974.4]",297953,0.14 ,1.14 ,2.23 
P39714,0.63,2.22,5.15,"[6351.5, 22555.2, 52229.8]",81136.5,-0.67 ,1.15 ,2.36 
"P46784, Q08745",1,2.24,4.75,"[115775.9, 258685.5, 548556.0]",923017.4,0.00 ,1.16 ,2.25 
"P19211, P23301",0.82,1.91,5.28,"[90783.6, 211544.1, 585452.8]",887780.5,-0.29 ,0.93 ,2.40 
P46951,0.95,4.47,2.58,"[5356.8, 25120.6, 14528.3]",45005.7,-0.07 ,2.16 ,1.37 
P07991,0.94,2.34,4.72,"[30398.9, 75957.3, 153120.7]",259476.9,-0.09 ,1.23 ,2.24 
P40504,3.32,2.12,2.56,"[11919.1, 7617.7, 9220.2]",28757,1.73 ,1.08 ,1.36 
P53146,0.52,2.46,5.03,"[3197.8, 15271.7, 31196.6]",49666.1,-0.94 ,1.30 ,2.33 
Q06409,0.98,2.34,4.68,"[14375.3, 34507.0, 68975.7]",117858,-0.03 ,1.23 ,2.23 
P15625,1.45,1.67,4.88,"[7669.6, 8797.7, 25798.9]",42266.2,0.54 ,0.74 ,2.29 
P16140,0.67,2.19,5.15,"[11381.2, 37342.6, 87875.0]",136598.8,-0.58 ,1.13 ,2.36 
Q12074,4.49,2.03,1.48,"[6147.7, 2786.6, 2029.4]",10963.7,2.17 ,1.02 ,0.57 
P36008,1,2.08,4.92,"[39605.9, 82231.7, 194733.2]",316570.8,0.00 ,1.06 ,2.30 
P40561,0.15,0.07,7.79,"[6887.3, 3122.6, 368392.1]",378402,-2.74 ,-3.84 ,2.96 
P21243,1.26,2.16,4.58,"[39377.4, 67220.2, 142885.2]",249482.8,0.33 ,1.11 ,2.20 
"P0CX47, P0CX48",1.02,2.09,4.89,"[75698.1, 155897.9, 364695.9]",596291.9,0.03 ,1.06 ,2.29 
P41811,0.7,2.42,4.88,"[1891.4, 6512.9, 13151.7]",21556,-0.51 ,1.28 ,2.29 
"P06169, P16467",0.98,1.83,5.19,"[42105.5, 78478.7, 223240.9]",343825.1,-0.03 ,0.87 ,2.38 
Q12223,1.05,1.97,4.99,"[88819.4, 167142.3, 423730.2]",679691.9,0.07 ,0.98 ,2.32 
Q03558,1.03,1.95,5.02,"[18853.6, 35569.1, 91781.7]",146204.4,0.04 ,0.96 ,2.33 
Q06143,1.1,2.2,4.7,"[190496.9, 383499.0, 817398.0]",1391393.9,0.14 ,1.14 ,2.23 
P32775,1.17,2.86,3.97,"[28842.4, 70211.1, 97569.5]",196623,0.23 ,1.52 ,1.99 
"P05748, P54780",0.64,2.36,5,"[5028.4, 18473.8, 39112.8]",62615,-0.64 ,1.24 ,2.32 
P07283,1.08,2,4.92,"[26452.5, 48877.3, 120196.1]",195525.9,0.11 ,1.00 ,2.30 
P32769,0.73,2.47,4.79,"[75584.5, 255980.8, 495975.3]",827540.6,-0.45 ,1.30 ,2.26 
P43551,0.2,2.28,5.52,"[4656.0, 54227.2, 131163.2]",190046.4,-2.32 ,1.19 ,2.46 
P33201,1.12,1.75,5.13,"[16123.6, 25159.1, 73920.8]",115203.5,0.16 ,0.81 ,2.36 
P51402,0.67,2.41,4.91,"[5487.4, 19644.9, 39987.3]",65119.6,-0.58 ,1.27 ,2.30 
Q02207,1.09,0.93,5.98,"[3119.1, 2654.0, 17140.2]",22913.3,0.12 ,-0.10 ,2.58 
P40026,1.24,1.87,4.89,"[46732.1, 70521.2, 183992.7]",301246,0.31 ,0.90 ,2.29 
P31412,0.85,2.49,4.66,"[4462.9, 13138.7, 24554.7]",42156.3,-0.23 ,1.32 ,2.22 
P15731,1.14,2.32,4.55,"[125462.4, 255608.0, 501787.7]",882858.1,0.19 ,1.21 ,2.19 
Q04749,3.1,1.34,3.55,"[4924.8, 2132.6, 5632.7]",12690.1,1.63 ,0.42 ,1.83 
P32944,0.72,2.56,4.73,"[2807.1, 10003.5, 18504.5]",31315.1,-0.47 ,1.36 ,2.24 
P08536,0.52,1.39,6.09,"[2782.6, 7424.6, 32641.5]",42848.7,-0.94 ,0.48 ,2.61 
"P0CX51, P0CX52",1.03,2.1,4.87,"[581965.3, 1180705.1, 2738308.0]",4500978.4,0.04 ,1.07 ,2.28 
P02829,1.13,2.04,4.83,"[63629.8, 114944.3, 271765.7]",450339.8,0.18 ,1.03 ,2.27 
P48231,4.14,3.03,0.84,"[58120.9, 42551.2, 11734.4]",112406.5,2.05 ,1.60 ,-0.25 
P06787,0.89,2.07,5.04,"[43344.2, 100189.5, 244393.2]",387926.9,-0.17 ,1.05 ,2.33 
P40303,0.96,2.05,4.99,"[61145.2, 130111.9, 317155.2]",508412.3,-0.06 ,1.04 ,2.32 
Q03373,0.42,2.8,4.78,"[4224.5, 28227.5, 48178.3]",80630.3,-1.25 ,1.49 ,2.26 
Q04195,1.05,2.01,4.94,"[12781.1, 24492.3, 60237.4]",97510.8,0.07 ,1.01 ,2.30 
Q01855,1.02,2.45,4.53,"[80966.8, 193628.9, 358924.4]",633520.1,0.03 ,1.29 ,2.18 
