protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level
P42900,1.02,1.26,0.73,"[20326.0, 25131.8, 14502.4]",59960.200000000004
P53860,0.67,1.14,1.19,"[9601.3, 16271.9, 16979.9]",42853.1
P38088,0.96,1.03,1.01,"[95229.1, 101768.4, 99779.8]",296777.3
P00560,0.92,1.02,1.06,"[801120.1, 891685.7, 924578.6]",2617384.4
P14126,0.9,1.04,1.06,"[186108.0, 216055.5, 218309.3]",620472.8
Q08096,0.88,1.02,1.1,"[13603.5, 15660.2, 16869.8]",46133.5
"P0CX35, P0CX36",0.82,1.06,1.12,"[54252.3, 69943.3, 74304.8]",198500.40000000002
P25338,1.03,0.86,1.11,"[7351.7, 6113.7, 7899.9]",21365.3
P29453,0.95,1.04,1.0,"[114622.6, 125238.1, 120444.2]",360304.9
P25353,1.1,1.03,0.87,"[31742.8, 29561.0, 24920.1]",86223.9
P53107,0.9,1.02,1.08,"[109349.2, 124265.8, 131420.5]",365035.5
P38708,0.92,1.1,0.98,"[91152.5, 109830.5, 97368.2]",298351.2
P48836,0.97,1.06,0.97,"[129231.3, 140822.8, 128827.0]",398881.1
P06780,1.08,1.0,0.92,"[25008.7, 23221.7, 21390.6]",69621.0
P00549,0.94,1.05,1.01,"[360918.5, 405727.4, 387250.3]",1153896.2
"P05737, Q12213",0.92,0.92,1.15,"[223864.3, 223691.2, 278774.0]",726329.5
Q03213,0.78,1.03,1.19,"[6206.6, 8237.1, 9489.8]",23933.5
P07262,0.79,0.91,1.3,"[23644.8, 27015.3, 38832.2]",89492.29999999999
P32563,1.15,0.78,1.07,"[3329.0, 2270.7, 3088.7]",8688.4
Q08750,1.07,0.98,0.95,"[13821.7, 12729.1, 12233.0]",38783.8
Q12424,1.82,0.65,0.53,"[175067.9, 62934.6, 50947.4]",288949.9
P15019,0.92,0.98,1.1,"[216011.9, 229469.7, 257232.8]",702714.3999999999
P07884,0.85,1.02,1.13,"[11025.2, 13271.5, 14739.6]",39036.3
P51979,0.88,1.01,1.12,"[21835.7, 25090.9, 27830.2]",74756.8
"P10591, P10592",0.98,1.0,1.01,"[433159.7, 442092.4, 447301.1]",1322553.2000000002
"P23248, P33442",0.87,1.17,0.95,"[13999.4, 18866.6, 15343.3]",48209.3
"P0CX82, P0CX83",0.93,1.01,1.06,"[222982.8, 244125.9, 254607.0]",721715.7
Q02326,1.01,0.89,1.11,"[54575.7, 48067.4, 59893.8]",162536.90000000002
Q03262,1.44,1.11,0.45,"[11964.5, 9267.3, 3718.6]",24950.399999999998
P53235,0.93,1.11,0.97,"[3000.7, 3572.5, 3119.2]",9692.4
Q08962,0.84,0.99,1.18,"[9105.1, 10760.0, 12820.0]",32685.1
P53961,0.92,1.05,1.03,"[26962.3, 30978.1, 30172.5]",88112.9
P49723,1.09,0.95,0.96,"[179392.4, 156451.6, 156879.4]",492723.4
P16521,1.26,0.96,0.77,"[750376.8, 571766.3, 458683.8]",1780826.9000000001
P33334,0.37,1.38,1.26,"[5412.2, 20353.3, 18535.0]",44300.5
"P05744, P41056",0.94,0.99,1.07,"[400397.0, 420545.7, 454359.8]",1275302.5
Q07478,1.04,0.97,0.98,"[80196.0, 74610.4, 75605.0]",230411.4
P26784,1.03,0.95,1.01,"[173265.8, 159816.0, 169439.6]",502521.4
P13663,1.01,1.19,0.8,"[14993.2, 17612.5, 11871.6]",44477.3
P22803,0.99,1.02,0.99,"[442493.8, 456306.4, 439991.8]",1338792.0
P17709,0.91,1.02,1.06,"[59158.7, 66179.1, 68895.3]",194233.1
P32324,0.92,1.0,1.08,"[948380.4, 1022698.4, 1106587.3]",3077666.1
Q06164,0.93,1.01,1.06,"[34506.5, 37473.7, 39221.0]",111201.2
P07251,1.23,0.69,1.08,"[25133.3, 14022.8, 22097.7]",61253.8
"P02407, P14127",0.99,1.02,0.99,"[948690.3, 974740.2, 949843.0]",2873273.5
P20606,0.87,1.09,1.04,"[53917.9, 67205.4, 64469.2]",185592.5
P04807,0.88,1.09,1.03,"[121055.4, 149215.7, 141385.2]",411656.3
P00942,1.03,1.0,0.97,"[90501.9, 88281.1, 85563.7]",264346.7
Q12469,0.87,1.19,0.94,"[2420.7, 3316.2, 2599.0]",8335.9
"P0CX84, P0CX85",0.93,1.13,0.94,"[456222.2, 551188.4, 457920.9]",1465331.5
Q06604,1.1,0.82,1.08,"[14400.2, 10661.0, 14148.0]",39209.2
P17076,0.96,0.97,1.07,"[66687.0, 67623.1, 74810.1]",209120.2
P25558,0.79,1.44,0.76,"[10304.0, 18813.8, 9961.6]",39079.4
Q00955,0.96,1.05,0.99,"[8015.5, 8721.6, 8282.0]",25019.1
P05739,1.3,0.78,0.92,"[67151.2, 40500.6, 47424.9]",155076.69999999998
P00950,0.86,1.07,1.07,"[911140.7, 1129407.7, 1138795.5]",3179343.9
P09232,1.27,0.94,0.8,"[8934.8, 6620.0, 5618.2]",21173.0
P05750,0.99,0.94,1.07,"[84423.7, 79979.1, 90708.4]",255111.19999999998
P38818,1.13,1.0,0.87,"[2870.2, 2528.3, 2211.9]",7610.4
P14540,0.91,1.04,1.05,"[148714.5, 169341.6, 171028.3]",489084.39999999997
Q05506,1.34,1.01,0.65,"[10472.9, 7916.1, 5130.9]",23519.9
P06169,0.93,1.05,1.03,"[321105.1, 362040.2, 356068.1]",1039213.4
P36775,0.93,1.26,0.81,"[9338.0, 12565.6, 8061.3]",29964.899999999998
P37012,0.94,1.09,0.96,"[36826.8, 42768.8, 37723.4]",117319.0
"O13535, O74302, P0C2I2, P0C2I3, P0C2I4, P0C2I5, P0C2I6, P0C2I8, P0C2I9, P0C2J0, P0C2J1, P0CX57, P0CX58, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX70, P0CX71, P0CX72, P0CX73, P0CX74, P0CX75, P0CX76, P47098, P47099, P47100, Q03434, Q03612, Q03619, Q03855, Q03856, Q04670, Q04706, Q04711, Q07793, Q12085, Q12088, Q12112, Q12141, Q12193, Q12217, Q12269, Q12273, Q12316, Q12391, Q12414, Q12441, Q12470, Q12485, Q6Q5H1, Q92392, Q92393, Q99231, Q99337",0.9,1.03,1.07,"[79615.7, 91377.6, 94536.6]",265529.9
P06168,0.93,1.06,1.01,"[186171.3, 213000.1, 202872.2]",602043.6000000001
P38910,0.97,1.1,0.92,"[54462.3, 61532.9, 51599.1]",167594.30000000002
P36022,0.58,1.16,1.27,"[3772.2, 7549.2, 8258.0]",19579.4
P40495,1.05,0.88,1.07,"[33039.2, 27564.5, 33502.9]",94106.6
P38989,1.14,1.13,0.73,"[29990.2, 29762.4, 19228.7]",78981.3
"P0CX51, P0CX52",1.02,0.96,1.02,"[494740.4, 467504.9, 496830.0]",1459075.3
P00360,0.98,0.99,1.03,"[330366.9, 334231.5, 346687.1]",1011285.5
"P0CX23, P0CX24",0.75,1.13,1.12,"[7519.3, 11346.7, 11286.6]",30152.6
P09624,1.1,1.05,0.85,"[16346.4, 15561.4, 12515.8]",44423.6
P22943,0.8,0.98,1.22,"[71485.9, 88023.9, 108792.5]",268302.3
P48415,0.76,0.81,1.44,"[5295.5, 5635.0, 10041.1]",20971.6
"P46784, Q08745",0.96,0.94,1.1,"[75979.9, 74913.8, 87710.1]",238603.80000000002
"P00924, P00925",0.95,1.02,1.03,"[526824.9, 564349.7, 571529.9]",1662704.5
P61830,0.87,1.09,1.04,"[196823.1, 247928.8, 235186.3]",679938.2
P32786,0.59,1.29,1.12,"[5563.8, 12042.3, 10472.3]",28078.399999999998
P17555,1.14,0.81,1.05,"[56994.6, 40579.1, 52877.7]",150451.4
P41920,0.91,0.95,1.14,"[88727.0, 92478.6, 110708.9]",291914.5
P05319,1.02,1.04,0.94,"[176375.5, 180293.0, 161935.8]",518604.3
P60010,1.0,0.99,1.01,"[223296.8, 221952.7, 225592.3]",670841.8
P49090,0.95,0.98,1.06,"[50451.5, 51830.9, 56209.1]",158491.5
Q01476,0.51,1.61,0.88,"[2151.7, 6839.7, 3757.0]",12748.4
P43591,1.02,1.03,0.95,"[34739.3, 35228.5, 32564.6]",102532.4
"P05030, P19657",0.93,0.99,1.08,"[111783.2, 119487.9, 129158.5]",360429.6
"P02829, P15108",0.91,1.09,1.0,"[247172.3, 297832.2, 273746.9]",818751.4
"P10664, P49626",0.98,1.0,1.02,"[297923.9, 304571.5, 311988.8]",914484.2
P48164,0.97,1.03,1.0,"[141200.6, 148818.3, 145045.4]",435064.30000000005
P43637,1.15,0.99,0.86,"[34497.6, 29855.2, 25851.1]",90203.9
P53847,0.94,1.22,0.84,"[18129.1, 23553.4, 16147.5]",57830.0
Q08873,0.91,1.1,0.99,"[15209.7, 18433.6, 16654.7]",50298.0
"P02293, P02294",1.03,0.9,1.07,"[139655.7, 121186.0, 144914.9]",405756.6
P39676,0.9,1.21,0.88,"[15734.3, 21122.1, 15357.9]",52214.299999999996
Q12734,0.22,1.71,1.07,"[3963.6, 30874.5, 19374.4]",54212.5
Q07896,1.24,1.32,0.44,"[12996.4, 13891.1, 4672.2]",31559.7
P36421,0.95,1.12,0.93,"[17207.6, 20444.3, 16875.2]",54527.09999999999
P47143,0.7,0.75,1.56,"[5091.5, 5451.6, 11365.3]",21908.4
P41940,0.86,0.87,1.28,"[55882.0, 56726.7, 83410.6]",196019.3
P07149,0.8,0.97,1.23,"[33277.4, 40432.1, 51213.0]",124922.5
P39015,0.93,1.05,1.01,"[165711.6, 187285.3, 179658.0]",532654.9
P00925,0.75,1.15,1.1,"[184139.0, 282636.0, 270998.6]",737773.6
P07259,0.95,0.97,1.08,"[18341.4, 18847.6, 21002.6]",58191.6
P19882,0.97,1.0,1.03,"[431756.0, 448362.0, 458289.1]",1338407.1
P27636,0.96,0.94,1.09,"[52666.7, 51602.9, 59921.0]",164190.6
Q05022,1.18,1.04,0.77,"[18659.0, 16410.0, 12204.2]",47273.2
P32471,0.92,1.06,1.03,"[147240.2, 169458.7, 164774.3]",481473.2
P12709,0.96,1.02,1.02,"[485149.5, 517020.6, 518573.7]",1520743.8
P38972,0.91,1.04,1.04,"[59651.8, 68348.1, 68259.1]",196259.0
P40157,0.83,0.85,1.32,"[6773.4, 6937.4, 10819.3]",24530.1
"P0CX43, P0CX44",0.94,1.08,0.98,"[84004.8, 95775.4, 87282.0]",267062.2
P38788,1.12,0.94,0.94,"[26912.0, 22499.5, 22445.3]",71856.8
P34760,0.87,1.1,1.03,"[162503.7, 203760.5, 191563.4]",557827.6
P04147,0.94,1.1,0.96,"[122929.6, 144185.9, 125544.9]",392660.4
"P0CX55, P0CX56",1.02,0.94,1.04,"[74704.8, 68647.3, 75836.5]",219188.6
P23254,0.86,0.94,1.2,"[40358.6, 44261.1, 56709.0]",141328.7
"P05743, P53221",0.97,1.02,1.02,"[543287.5, 572457.1, 570943.4]",1686688.0
Q04779,0.39,1.38,1.23,"[3497.3, 12272.6, 10996.8]",26766.7
P12385,0.64,1.2,1.17,"[12804.3, 23987.6, 23413.8]",60205.7
P07245,0.94,1.07,0.99,"[90011.4, 102837.5, 94829.0]",287677.9
"P11484, P40150",0.93,1.02,1.05,"[363453.2, 396040.9, 408174.1]",1167668.2000000002
Q12159,1.16,0.71,1.12,"[5236.2, 3214.7, 5051.8]",13502.7
"P38009, P54113",1.14,1.03,0.83,"[98349.6, 89159.2, 71919.9]",259428.69999999998
Q08964,0.91,1.15,0.94,"[17774.8, 22371.2, 18421.1]",58567.1
P17967,0.95,1.03,1.02,"[324905.8, 350675.4, 348589.6]",1024170.7999999999
Q3E841,0.93,1.03,1.04,"[57481.7, 63558.1, 64476.5]",185516.3
P37297,0.66,1.9,0.44,"[13972.4, 40321.4, 9353.7]",63647.5
"P17076, P29453",0.97,1.01,1.02,"[965519.6, 1013019.6, 1018329.0]",2996868.2
Q05043,1.13,0.94,0.93,"[35947.7, 29785.9, 29558.1]",95291.70000000001
P19659,1.03,1.2,0.77,"[52504.3, 61407.9, 39572.7]",153484.90000000002
P22146,0.89,1.03,1.09,"[59997.0, 69453.7, 73460.7]",202911.4
P37292,1.05,0.78,1.16,"[25631.5, 19041.7, 28220.0]",72893.2
P47163,1.02,1.08,0.89,"[3624.0, 3829.5, 3162.8]",10616.3
P38830,1.26,1.19,0.55,"[7540.7, 7105.2, 3320.0]",17965.9
P32874,1.47,0.62,0.92,"[6915.3, 2912.3, 4325.6]",14153.2
P46367,0.95,1.06,0.98,"[73195.5, 81541.5, 75579.7]",230316.7
P38249,0.73,1.08,1.19,"[14820.4, 21813.7, 24201.9]",60836.0
P0CS90,1.1,0.93,0.97,"[124897.7, 104695.3, 109703.0]",339296.0
"P04449, P24000",1.02,0.98,1.0,"[250283.4, 240942.6, 246688.5]",737914.5
P52917,0.77,0.82,1.41,"[1605.3, 1709.5, 2924.9]",6239.700000000001
P38682,1.09,1.1,0.82,"[7914.4, 7979.9, 5956.2]",21850.5
P40069,0.84,0.99,1.17,"[16867.1, 19997.0, 23584.5]",60448.6
P15180,1.2,0.97,0.83,"[20195.5, 16368.9, 14064.5]",50628.9
P00817,0.98,0.99,1.03,"[100594.8, 100985.6, 105964.6]",307545.0
P15108,1.05,0.93,1.02,"[67234.9, 59457.6, 65400.3]",192092.8
Q07395,0.87,1.05,1.08,"[10565.1, 12755.5, 13059.0]",36379.6
P07170,0.93,1.02,1.05,"[125011.7, 137837.5, 142125.7]",404974.9
"P0CX41, P0CX42",0.94,1.04,1.02,"[110563.2, 121984.0, 119546.4]",352093.6
Q08693,0.96,1.12,0.93,"[29375.5, 34299.3, 28475.3]",92150.1
P38144,0.99,1.04,0.97,"[25344.3, 26709.8, 24789.2]",76843.3
P19097,0.99,1.05,0.96,"[109665.5, 115630.8, 106231.1]",331527.4
P53184,0.98,0.95,1.07,"[129837.1, 125290.5, 142270.3]",397397.9
P38360,0.89,1.17,0.94,"[6302.6, 8238.4, 6671.0]",21212.0
P48015,0.95,1.0,1.05,"[78271.5, 82333.5, 87041.7]",247646.7
P14908,1.0,1.06,0.94,"[8932.7, 9475.3, 8380.8]",26788.8
P02309,0.82,1.23,0.95,"[5818.2, 8689.1, 6761.8]",21269.1
P05317,0.91,1.16,0.93,"[58844.5, 74963.2, 60064.4]",193872.1
P15705,1.09,0.94,0.97,"[125733.4, 107770.4, 111817.9]",345321.69999999995
P38717,1.16,0.95,0.89,"[12710.3, 10490.3, 9772.4]",32973.0
P32939,0.9,1.02,1.08,"[12500.2, 14181.6, 14956.3]",41638.100000000006
P37302,0.89,1.24,0.87,"[163501.5, 228424.1, 160527.4]",552453.0
"P0C0V8, Q3E754",0.89,1.02,1.09,"[83335.2, 95759.1, 101813.6]",280907.9
P15992,0.93,1.0,1.07,"[43069.8, 46589.2, 49977.0]",139636.0
P39954,0.96,0.97,1.07,"[275832.0, 277276.9, 305226.8]",858335.7
P15496,0.92,1.04,1.04,"[58965.6, 66337.0, 66291.3]",191593.90000000002
P32849,1.06,1.01,0.93,"[20034.1, 19097.2, 17510.4]",56641.700000000004
P34221,0.85,1.16,0.99,"[15609.8, 21231.9, 18037.8]",54879.5
P25443,1.14,1.55,0.32,"[6835.0, 9304.5, 1901.6]",18041.1
Q06148,0.78,1.1,1.13,"[1803.4, 2555.9, 2619.1]",6978.4
P39986,1.09,0.88,1.03,"[36990.4, 29787.4, 34662.9]",101440.70000000001
P36126,1.18,0.76,1.06,"[27036.8, 17286.6, 24287.5]",68610.9
P20459,1.29,0.76,0.94,"[21109.9, 12419.2, 15412.8]",48941.90000000001
P29547,0.98,1.03,0.98,"[28324.5, 29777.3, 28305.6]",86407.4
P36108,0.64,1.03,1.33,"[9196.5, 14784.8, 19220.6]",43201.899999999994
P15873,0.82,1.03,1.15,"[11614.2, 14549.1, 16350.4]",42513.700000000004
P35203,1.54,0.78,0.68,"[6370.3, 3238.2, 2795.0]",12403.5
Q12363,1.04,1.11,0.85,"[47491.9, 50985.8, 38804.8]",137282.5
P47037,1.27,1.07,0.66,"[12651.0, 10689.3, 6564.6]",29904.9
P09436,0.92,1.01,1.07,"[44776.4, 49437.7, 51960.7]",146174.8
P25491,0.88,1.28,0.84,"[31172.8, 45130.5, 29537.4]",105840.70000000001
"P0CX39, P0CX40",1.1,1.03,0.86,"[84270.4, 78894.0, 65873.6]",229038.0
P00815,1.03,1.06,0.9,"[164757.7, 169609.5, 143830.6]",478197.80000000005
P04039,1.11,1.31,0.57,"[8345.5, 9835.4, 4297.4]",22478.300000000003
P34077,1.16,1.23,0.61,"[20097.6, 21395.8, 10552.2]",52045.59999999999
Q03640,0.91,0.62,1.46,"[5582.1, 3816.4, 8923.6]",18322.1
P40046,0.17,1.2,1.62,"[3445.9, 24109.5, 32509.1]",60064.5
"P00358, P00359",0.89,1.15,0.96,"[103891.5, 133802.3, 112419.1]",350112.9
P53914,0.44,1.8,0.76,"[1947.1, 7962.3, 3384.8]",13294.2
P02406,0.97,1.04,0.99,"[184125.1, 197674.6, 188347.0]",570146.7
Q12230,0.93,1.03,1.04,"[121069.9, 134477.7, 135357.7]",390905.30000000005
"P0CX49, P0CX50",0.97,1.04,0.99,"[202208.1, 215255.1, 204981.5]",622444.7
"P04806, P04807",0.95,0.96,1.09,"[58194.8, 58829.9, 67179.1]",184203.80000000002
P04806,0.89,1.06,1.05,"[128071.0, 151536.4, 150571.8]",430179.2
"P07280, P07281",0.89,1.06,1.05,"[70745.1, 84205.6, 83048.7]",237999.40000000002
O14467,1.01,0.99,0.99,"[285435.6, 279930.7, 279687.7]",845054.0
P38264,1.01,1.0,0.99,"[30893.2, 30756.0, 30219.6]",91868.79999999999
P46675,0.1,2.81,0.09,"[1540.3, 44044.3, 1408.6]",46993.200000000004
P40825,1.23,1.11,0.67,"[8884.7, 7990.4, 4810.2]",21685.3
Q04199,0.64,0.9,1.45,"[3443.6, 4837.6, 7778.1]",16059.300000000001
Q06252,1.18,0.82,0.99,"[54005.6, 37456.5, 45334.8]",136796.90000000002
P37291,0.96,1.04,1.0,"[354042.7, 383513.1, 368801.4]",1106357.2000000002
P10622,0.93,0.97,1.1,"[20314.4, 21349.0, 24122.4]",65785.8
P33418,1.07,0.65,1.28,"[5012.8, 3057.3, 6019.7]",14089.8
P32860,0.93,0.78,1.28,"[3020.6, 2537.6, 4162.4]",9720.599999999999
P32911,0.86,1.03,1.1,"[14091.9, 16945.8, 18096.3]",49134.0
P00445,1.04,0.98,0.99,"[560060.4, 528006.4, 533727.2]",1621794.0
P32599,1.1,0.97,0.93,"[30959.4, 27450.3, 26338.7]",84748.4
P53691,1.0,1.22,0.78,"[20356.8, 24679.2, 15886.8]",60922.8
"P32386, P38735",0.28,1.25,1.47,"[4642.1, 20724.0, 24301.6]",49667.7
P38630,1.1,0.88,1.02,"[3151.0, 2514.3, 2938.0]",8603.3
"P0CX27, P0CX28",1.0,0.98,1.02,"[184445.8, 181421.5, 188252.3]",554119.6
Q12369,0.94,1.03,1.02,"[161510.2, 176915.9, 175209.5]",513635.6
P38348,0.64,1.53,0.83,"[4022.5, 9593.0, 5212.5]",18828.0
P32861,0.68,1.13,1.2,"[8852.7, 14757.5, 15720.1]",39330.3
P04802,0.77,1.09,1.14,"[16595.1, 23564.3, 24698.7]",64858.09999999999
P02994,0.84,1.2,0.97,"[579502.4, 829861.7, 672153.4]",2081517.5
P38219,0.94,0.99,1.07,"[206511.9, 216321.6, 232874.0]",655707.5
P49166,0.82,1.13,1.05,"[25598.2, 34990.4, 32533.2]",93121.8
P06105,1.21,0.88,0.91,"[55627.7, 40665.1, 41632.0]",137924.8
P23301,0.49,1.42,1.09,"[11509.5, 33414.8, 25565.9]",70490.20000000001
P28006,1.52,1.19,0.28,"[37214.1, 29123.9, 6941.2]",73279.2
P15624,1.25,0.92,0.83,"[29754.2, 21810.7, 19684.7]",71249.6
"O13516, P05755",0.96,1.06,0.99,"[43379.3, 47898.0, 44843.2]",136120.5
P05747,0.95,1.41,0.63,"[6406.7, 9478.1, 4254.3]",20139.1
P54115,0.97,1.01,1.01,"[472818.8, 492803.5, 492063.5]",1457685.8
P00924,0.95,1.0,1.05,"[237541.9, 250272.4, 263186.2]",751000.5
P38272,0.57,1.46,0.96,"[57123.3, 145242.0, 95829.4]",298194.69999999995
P40185,1.11,0.93,0.95,"[83239.4, 69801.4, 71224.0]",224264.8
"P0C2H8, P0C2H9",0.81,1.07,1.12,"[179466.2, 236795.1, 246767.5]",663028.8
P32527,0.97,1.09,0.95,"[63631.1, 71330.5, 62077.7]",197039.3
P32379,0.88,0.89,1.22,"[93302.4, 94666.3, 129418.2]",317386.9
Q05050,1.11,1.28,0.61,"[16622.0, 19168.3, 9222.1]",45012.4
"P0CX33, P0CX34",0.24,2.68,0.08,"[15822.7, 178381.6, 5600.6]",199804.90000000002
P10591,0.96,1.0,1.04,"[157996.8, 164267.8, 170029.5]",492294.1
P16861,1.15,0.87,0.98,"[89254.6, 67537.6, 75662.4]",232454.6
"P39003, P39004",0.62,1.13,1.25,"[53594.4, 97387.1, 107143.1]",258124.6
P39526,1.08,0.93,0.99,"[32526.0, 27875.0, 29594.5]",89995.5
P40470,1.21,0.99,0.8,"[11004.8, 9045.2, 7292.6]",27342.6
