protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level
P31539,0.96,1.07,0.97,"[90533.8, 100409.5, 91212.5]",282155.8
P36101,1.22,0.92,0.85,"[19892.7, 15009.8, 13863.1]",48765.6
P06787,0.96,0.9,1.14,"[74172.1, 69828.9, 88204.2]",232205.2
"P0C0T4, Q3E792",1.2,1.37,0.43,"[13073.4, 14922.0, 4734.3]",32729.7
P12954,0.57,0.84,1.59,"[2992.0, 4463.8, 8429.5]",15885.3
P53599,0.78,1.21,1.01,"[24624.2, 38397.6, 32091.4]",95113.20000000001
P49167,0.98,0.97,1.05,"[352280.9, 349529.6, 377093.0]",1078903.5
Q07530,1.07,1.42,0.5,"[14252.0, 18930.6, 6686.8]",39869.4
"P25608, P53912, P54007",1.07,0.98,0.95,"[39505.9, 36388.5, 35361.6]",111256.0
P30624,1.09,0.73,1.18,"[3645.6, 2456.3, 3962.0]",10063.9
P32048,1.39,0.88,0.74,"[6982.0, 4417.3, 3710.7]",15110.0
Q12331,0.66,1.35,0.99,"[9325.8, 18972.8, 13931.1]",42229.7
"P0CX37, P0CX38",0.8,1.34,0.86,"[271174.4, 453797.8, 292913.4]",1017885.6
"P0CX31, P0CX32",1.07,0.94,1.0,"[41665.7, 36462.1, 38853.4]",116981.19999999998
P54885,0.9,1.15,0.96,"[10844.1, 13808.3, 11526.4]",36178.8
Q08236,0.95,1.03,1.02,"[73281.1, 79673.5, 78648.1]",231602.7
P40341,1.04,1.11,0.85,"[13981.2, 15018.7, 11478.5]",40478.4
P00330,0.99,1.0,1.02,"[573400.6, 579392.0, 593372.2]",1746164.8
"P05739, Q02326",0.98,1.02,1.0,"[273512.7, 284459.3, 278896.9]",836868.9
P28273,0.98,0.91,1.11,"[18049.6, 16690.1, 20469.9]",55209.6
Q06096,1.14,0.91,0.96,"[12773.7, 10194.4, 10790.8]",33758.899999999994
"P29547, P36008",1.13,1.23,0.64,"[7269.4, 7926.0, 4153.5]",19348.9
P32481,0.95,1.12,0.93,"[27685.2, 32550.6, 27081.5]",87317.3
P38934,0.95,1.18,0.87,"[51220.8, 63641.6, 47037.6]",161900.0
P39955,1.17,1.3,0.54,"[6934.7, 7708.7, 3207.5]",17850.9
P39002,0.93,0.78,1.29,"[4497.8, 3788.9, 6252.7]",14539.400000000001
P25719,0.91,1.16,0.93,"[37993.4, 48126.1, 38622.2]",124741.7
Q08179,1.18,0.89,0.92,"[14512.9, 10908.9, 11322.7]",36744.5
P22515,1.04,1.11,0.85,"[61848.0, 65901.0, 50684.8]",178433.8
P38707,0.96,0.94,1.1,"[24798.0, 24202.8, 28313.4]",77314.20000000001
P80210,1.33,0.85,0.82,"[135517.1, 86956.8, 84312.7]",306786.60000000003
P07267,0.95,1.07,0.98,"[16458.9, 18610.6, 17037.5]",52107.0
Q03002,0.88,1.21,0.9,"[28787.3, 39571.7, 29429.1]",97788.1
P02829,0.97,1.04,0.99,"[201242.9, 216336.3, 204318.5]",621897.7
P08524,0.62,1.22,1.16,"[15945.6, 31196.8, 29738.5]",76880.9
P22855,0.93,0.74,1.33,"[12874.8, 10168.8, 18422.2]",41465.8
P35176,0.43,1.52,1.04,"[2683.8, 9479.9, 6487.2]",18650.9
P25294,0.79,0.61,1.6,"[3765.3, 2890.6, 7571.9]",14227.8
P25646,0.64,1.3,1.06,"[11764.6, 24091.2, 19596.6]",55452.4
P32891,0.48,1.32,1.2,"[4053.3, 11066.4, 10119.7]",25239.4
P06738,0.86,0.95,1.19,"[19558.5, 21639.0, 27041.7]",68239.2
P23639,1.02,1.17,0.81,"[8597.9, 9851.4, 6863.4]",25312.699999999997
P53622,1.34,0.79,0.87,"[4585.8, 2722.2, 2988.1]",10296.1
P26637,1.0,0.97,1.03,"[14470.2, 14024.5, 14903.0]",43397.7
P04840,1.06,0.95,1.0,"[186169.7, 166889.1, 175572.0]",528630.8
P47075,0.83,1.02,1.14,"[27631.5, 34039.6, 38015.7]",99686.79999999999
P53840,1.07,1.19,0.74,"[24651.4, 27271.8, 16876.9]",68800.1
P41277,1.08,0.96,0.96,"[178975.4, 159402.2, 158479.8]",496857.39999999997
P38804,1.21,0.8,0.99,"[25862.9, 17084.1, 21135.9]",64082.9
P47088,0.81,0.99,1.2,"[6587.4, 8032.3, 9750.1]",24369.800000000003
P10081,0.84,0.98,1.18,"[90105.9, 104667.3, 126149.2]",320922.4
P18239,0.97,1.03,1.0,"[12241.5, 13010.8, 12593.0]",37845.3
"P05740, P46990",1.0,1.31,0.69,"[56656.5, 74424.2, 39019.9]",170100.6
Q07732,0.98,0.88,1.14,"[3187.5, 2876.4, 3691.3]",9755.2
Q03834,0.78,1.33,0.9,"[7225.9, 12339.1, 8358.5]",27923.5
P32263,0.85,1.05,1.1,"[13100.3, 16175.9, 17015.0]",46291.2
P40460,0.83,0.97,1.19,"[18111.3, 21149.7, 25821.1]",65082.1
P38624,1.01,0.83,1.16,"[23449.6, 19325.3, 27120.1]",69895.0
P53163,0.93,1.14,0.93,"[32415.4, 39629.3, 32589.6]",104634.30000000002
P38800,0.59,0.67,1.74,"[3427.9, 3941.1, 10167.9]",17536.9
Q12000,1.05,1.02,0.92,"[3295.5, 3208.7, 2895.6]",9399.8
P38011,0.95,1.06,0.99,"[108510.2, 121909.4, 113318.9]",343738.5
P23542,0.74,1.14,1.11,"[40779.6, 62894.8, 61298.7]",164973.09999999998
P38431,0.88,1.11,1.0,"[48512.5, 61293.7, 55149.3]",164955.5
P25356,0.74,1.73,0.53,"[2638.2, 6180.5, 1894.6]",10713.300000000001
Q03944,0.98,1.1,0.92,"[6018.3, 6728.3, 5674.4]",18421.0
P54790,1.15,1.27,0.58,"[8132.2, 9042.0, 4130.5]",21304.7
P25694,0.9,1.07,1.03,"[113473.6, 133996.6, 128791.8]",376262.0
P53315,0.57,0.82,1.6,"[1915.8, 2748.4, 5345.1]",10009.3
P05694,1.0,1.01,0.99,"[257366.9, 261949.8, 255469.2]",774785.8999999999
P39726,0.88,1.05,1.07,"[22203.3, 26473.4, 26880.4]",75557.1
Q03558,0.91,1.1,0.99,"[48848.2, 59107.4, 52823.2]",160778.8
Q05359,0.82,0.96,1.21,"[2735.2, 3197.7, 4027.0]",9959.9
P40395,1.0,1.03,0.97,"[75938.2, 78051.0, 73308.1]",227297.30000000002
P28789,0.76,1.08,1.15,"[47105.7, 66997.6, 71190.2]",185293.5
P22203,0.83,1.04,1.13,"[116076.0, 144674.5, 157826.2]",418576.7
P10964,0.94,1.06,1.0,"[64583.5, 72458.4, 68145.6]",205187.5
P38698,0.46,1.53,1.01,"[17571.0, 58508.1, 38354.0]",114433.1
P22137,1.13,0.77,1.1,"[33551.5, 22886.5, 32695.2]",89133.2
"P19414, P39533",1.08,1.03,0.89,"[38209.1, 36606.7, 31793.9]",106609.69999999998
Q12142,0.61,2.0,0.38,"[2893.3, 9433.9, 1797.1]",14124.300000000001
"P11076, P19146",0.91,1.19,0.9,"[8293.1, 10909.9, 8286.3]",27489.3
P54839,0.91,1.03,1.06,"[49226.9, 55515.2, 57449.6]",162191.7
"P05748, P54780",0.83,1.15,1.02,"[122508.4, 170174.0, 151066.9]",443749.30000000005
Q08562,0.85,1.15,0.99,"[2725.0, 3675.4, 3161.3]",9561.7
P33892,1.42,0.14,1.44,"[49276.6, 4850.4, 49992.2]",104119.2
P35719,1.01,0.96,1.03,"[42029.3, 39958.6, 42711.4]",124699.29999999999
Q02455,0.85,1.08,1.07,"[22306.7, 28344.4, 28278.3]",78929.40000000001
P16522,1.03,1.11,0.86,"[2031.5, 2182.7, 1692.0]",5906.2
"P10659, P19358",0.92,1.04,1.03,"[60012.3, 68106.3, 67448.6]",195567.2
P13856,1.01,1.09,0.91,"[21451.4, 23212.0, 19322.3]",63985.7
P50275,0.76,1.17,1.07,"[5438.3, 8369.9, 7632.1]",21440.300000000003
Q12220,1.14,0.96,0.9,"[8733.2, 7345.6, 6847.9]",22926.7
P52910,0.96,1.01,1.03,"[146096.4, 153134.7, 157441.8]",456672.89999999997
P10592,1.11,0.94,0.95,"[13954.3, 11805.3, 11991.4]",37751.0
P16862,0.96,1.02,1.02,"[235196.4, 251690.1, 251646.0]",738532.5
P39016,1.01,0.93,1.06,"[17086.2, 15587.8, 17845.0]",50519.0
P43123,1.12,0.93,0.96,"[11609.3, 9623.1, 9955.6]",31188.0
"P05738, P51401",0.9,1.08,1.02,"[129311.4, 155793.9, 146875.8]",431981.1
Q04602,0.87,1.06,1.06,"[6738.6, 8222.6, 8202.6]",23163.800000000003
P31116,0.93,1.04,1.03,"[193733.0, 215693.1, 213399.0]",622825.1
P38715,0.9,0.9,1.19,"[31761.2, 31869.4, 42041.1]",105671.70000000001
P38701,0.95,0.96,1.09,"[199000.4, 202147.3, 227532.8]",628680.5
P53197,1.11,0.94,0.94,"[11538.0, 9774.2, 9762.8]",31075.0
Q05911,0.89,1.15,0.97,"[65560.5, 84993.7, 71655.1]",222209.30000000002
P25588,0.79,1.05,1.16,"[11452.6, 15283.8, 16803.0]",43539.4
Q08204,1.18,1.22,0.6,"[6025.2, 6257.0, 3041.5]",15323.7
P39935,0.97,0.98,1.05,"[18458.0, 18839.8, 20082.5]",57380.3
Q03161,1.07,1.08,0.85,"[30642.9, 30883.0, 24393.8]",85919.7
P51402,0.66,1.09,1.25,"[8768.8, 14583.8, 16711.4]",40064.0
"P40106, P41277",0.98,1.12,0.91,"[93693.5, 106939.9, 86742.2]",287375.6
P46655,0.97,1.26,0.77,"[18871.6, 24709.1, 15080.8]",58661.5
P16474,0.95,1.09,0.96,"[51906.1, 59248.7, 52440.4]",163595.19999999998
P38013,1.13,0.95,0.92,"[256086.1, 215409.1, 208822.9]",680318.1
Q06321,0.95,0.99,1.06,"[22001.8, 22778.9, 24505.5]",69286.2
P07244,0.94,1.04,1.01,"[35626.9, 39423.7, 38193.5]",113244.1
P29311,0.94,1.0,1.06,"[84338.5, 89270.3, 95011.5]",268620.3
Q12055,1.07,0.97,0.96,"[3110.6, 2823.6, 2778.9]",8713.1
Q05812,0.83,1.07,1.1,"[2048.7, 2634.5, 2707.2]",7390.4
"Q02753, Q12672",0.96,1.0,1.04,"[983949.4, 1030613.8, 1071275.7]",3085838.9000000004
P38009,0.79,1.12,1.09,"[40752.7, 57443.1, 55892.1]",154087.9
Q12499,0.92,1.05,1.03,"[70013.0, 79538.5, 78567.3]",228118.8
P17505,0.71,0.87,1.42,"[10105.5, 12392.9, 20347.2]",42845.600000000006
P26785,0.98,1.03,0.99,"[204282.9, 215369.7, 207665.5]",627318.1
P39007,1.15,0.84,1.01,"[10117.7, 7434.0, 8878.9]",26430.6
Q00362,0.29,1.67,1.04,"[2387.6, 13807.6, 8568.8]",24764.0
P38130,0.92,0.68,1.39,"[3171.6, 2344.3, 4778.1]",10294.0
"P0CX45, P0CX46",0.89,1.06,1.04,"[61844.4, 73815.6, 72377.6]",208037.6
Q08970,0.88,0.77,1.35,"[23103.2, 20396.5, 35642.9]",79142.6
P32445,1.08,0.98,0.93,"[77250.5, 69976.6, 66596.3]",213823.40000000002
P07806,1.0,1.03,0.97,"[14314.2, 14762.9, 13797.7]",42874.8
P14120,0.88,1.01,1.1,"[33992.6, 38926.5, 42480.2]",115399.3
Q04947,0.86,1.11,1.02,"[98050.2, 126148.4, 115941.2]",340139.8
P32896,0.98,0.98,1.04,"[15276.8, 15171.2, 16117.1]",46565.1
P21243,0.94,0.91,1.15,"[54144.7, 52545.6, 66704.3]",173394.59999999998
"P32589, P32590",1.0,1.04,0.97,"[429465.8, 446089.1, 415515.0]",1291069.9
P40037,1.06,1.03,0.91,"[100363.0, 98140.5, 86785.6]",285289.1
Q03530,0.91,0.85,1.24,"[8552.3, 8004.9, 11697.8]",28254.999999999996
P00498,0.81,1.09,1.1,"[2172.4, 2910.5, 2942.5]",8025.4
P16387,1.13,1.01,0.86,"[10022.5, 8981.3, 7668.0]",26671.8
Q12458,0.55,0.75,1.69,"[3050.6, 4154.2, 9330.2]",16535.0
P46680,0.85,1.09,1.06,"[26157.9, 33423.2, 32517.8]",92098.9
Q06508,0.97,1.02,1.01,"[39086.9, 41191.7, 40755.9]",121034.5
P34216,0.94,1.16,0.9,"[2068.8, 2534.4, 1964.8]",6568.000000000001
P53742,1.19,0.79,1.02,"[3096.6, 2050.5, 2636.7]",7783.8
P53276,1.0,1.09,0.91,"[5905.9, 6416.3, 5361.7]",17683.9
P40457,1.06,1.12,0.82,"[68112.9, 72397.7, 53112.2]",193622.8
"O14455, P05745",1.0,0.9,1.09,"[130032.7, 116768.6, 141379.6]",388180.9
P05318,1.01,0.98,1.02,"[73345.8, 71329.7, 73992.8]",218668.3
Q12009,0.46,1.34,1.19,"[2276.1, 6576.3, 5837.6]",14690.0
P39735,1.61,1.31,0.08,"[142244.6, 115692.8, 7249.4]",265186.80000000005
"P22217, P22803",0.92,1.08,1.0,"[252329.3, 294235.0, 273504.9]",820069.2000000001
P38326,0.98,1.02,1.0,"[153568.5, 159698.0, 156719.6]",469986.1
P41832,1.11,1.0,0.89,"[10313.1, 9303.6, 8321.4]",27938.1
O14455,1.02,1.0,0.99,"[166666.0, 162958.8, 161642.6]",491267.4
P41338,1.04,1.09,0.87,"[13845.2, 14576.5, 11590.4]",40012.1
P02400,1.0,1.04,0.96,"[69887.2, 72164.1, 66651.1]",208702.4
P39932,1.01,0.95,1.04,"[30912.7, 29166.7, 31747.7]",91827.1
P32589,1.01,0.79,1.2,"[44054.9, 34687.1, 52301.4]",131043.4
P23638,1.15,1.03,0.82,"[15748.8, 14178.0, 11224.7]",41151.5
P05744,0.94,1.03,1.03,"[69472.7, 75979.3, 75630.2]",221082.2
Q12143,1.21,0.81,0.98,"[68900.4, 45742.4, 55683.1]",170325.9
P23180,0.91,1.24,0.84,"[33743.7, 46043.2, 31178.1]",110965.0
P04456,1.01,1.08,0.91,"[61977.5, 65966.3, 55858.6]",183802.4
Q06554,1.36,0.53,1.11,"[8021.4, 3152.1, 6582.0]",17755.5
P00358,0.99,1.05,0.96,"[123307.6, 130206.6, 118818.7]",372332.9
Q12396,1.04,1.38,0.58,"[4536.0, 6053.6, 2549.7]",13139.3
P38555,1.12,0.89,0.99,"[2453.9, 1963.8, 2173.3]",6591.0
P04821,1.34,1.17,0.5,"[23701.0, 20719.2, 8790.0]",53210.2
P28274,0.61,1.81,0.58,"[3587.5, 10590.9, 3422.2]",17600.6
P38604,0.94,1.06,1.0,"[2191.6, 2463.8, 2311.1]",6966.5
P35691,0.91,1.09,0.99,"[117450.0, 140146.0, 127610.9]",385206.9
P00830,0.97,1.03,1.0,"[82259.2, 88117.5, 85328.8]",255705.5
P17255,0.98,1.08,0.94,"[127478.9, 139658.7, 121353.3]",388490.89999999997
P39077,1.37,0.67,0.96,"[3970.1, 1929.5, 2788.3]",8687.900000000001
P38061,1.03,1.08,0.89,"[3994.1, 4161.2, 3432.2]",11587.5
Q12276,1.01,1.02,0.97,"[20939.4, 21244.0, 20173.3]",62356.7
Q04223,1.31,0.58,1.1,"[8272.4, 3684.2, 6960.8]",18917.399999999998
P32610,0.72,1.19,1.09,"[7563.9, 12550.2, 11557.3]",31671.399999999998
P40513,0.95,1.14,0.9,"[49834.9, 59748.5, 47285.1]",156868.5
P38887,1.04,1.02,0.94,"[61825.1, 60185.9, 55813.8]",177824.8
P14742,0.89,1.05,1.06,"[39847.5, 47232.2, 47370.4]",134450.1
"P0C0W9, Q3E757",0.94,0.97,1.1,"[326676.4, 337509.2, 383230.9]",1047416.5000000001
P53866,1.15,1.0,0.85,"[3653.9, 3204.7, 2709.8]",9568.400000000001
"P06367, P39516",1.03,0.99,0.99,"[160982.9, 154646.8, 155305.0]",470934.69999999995
"P29311, P34730",0.91,0.93,1.16,"[11864.3, 12169.6, 15186.1]",39220.0
P48569,0.75,1.15,1.09,"[7623.2, 11656.7, 11012.7]",30292.600000000002
P28241,0.99,0.99,1.01,"[89216.1, 88966.1, 91090.9]",269273.1
P32522,0.92,0.97,1.11,"[4770.6, 5027.1, 5791.8]",15589.5
P21657,0.74,1.43,0.83,"[1441.3, 2760.2, 1605.2]",5806.7
P40025,1.11,1.32,0.57,"[45291.7, 54213.3, 23361.4]",122866.4
"P06169, P16467",0.96,1.05,0.99,"[231464.5, 252715.2, 237138.6]",721318.3
P32567,0.84,0.95,1.2,"[3138.4, 3559.0, 4483.6]",11181.0
P16140,0.91,1.12,0.97,"[44715.7, 54963.9, 47967.3]",147646.90000000002
P22470,0.76,1.21,1.03,"[20187.7, 32359.3, 27619.9]",80166.9
P36166,0.65,1.39,0.96,"[2634.9, 5656.9, 3919.9]",12211.699999999999
Q04182,0.87,1.5,0.63,"[13156.1, 22652.8, 9479.0]",45287.9
"O13535, O74302, P0C2I2, P0C2I3, P0C2I4, P0C2I5, P0C2I6, P0C2I8, P0C2I9, P0C2J0, P0C2J1, P0CX57, P0CX58, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX70, P0CX71, P0CX72, P0CX73, P0CX74, P0CX75, P0CX76, P47098, P47099, P47100, Q03434, Q03612, Q03619, Q03855, Q03856, Q04670, Q04706, Q04711, Q07793, Q12085, Q12088, Q12141, Q12193, Q12217, Q12269, Q12273, Q12316, Q12414, Q12441, Q12470, Q12485, Q6Q5H1, Q92392, Q92393, Q99231, Q99337",1.06,1.06,0.89,"[159348.7, 158886.4, 133387.2]",451622.3
P39715,0.75,0.71,1.55,"[6051.7, 5724.0, 12516.1]",24291.800000000003
P46672,1.04,0.97,0.99,"[3109.5, 2911.5, 2953.8]",8974.8
P05749,0.49,0.51,2.01,"[3543.6, 3676.7, 14564.0]",21784.3
"P00358, P00359, P00360",0.14,1.42,1.44,"[38859.8, 390384.0, 395792.0]",825035.8
"P00330, P00331",0.93,1.09,0.98,"[57905.3, 68082.9, 60671.6]",186659.8
"P0CS90, P39987",0.86,1.05,1.09,"[51707.1, 63131.0, 65804.9]",180643.0
P15380,0.32,1.51,1.16,"[11416.1, 53270.4, 40942.2]",105628.7
P20081,0.89,1.05,1.06,"[160733.0, 190862.7, 192730.8]",544326.5
P39993,0.9,1.09,1.01,"[11773.3, 14244.0, 13241.0]",39258.3
Q12471,0.6,1.61,0.79,"[3426.7, 9170.5, 4468.2]",17065.4
Q12202,0.85,1.03,1.12,"[36409.3, 44212.3, 47728.8]",128350.40000000001
P12695,0.94,0.96,1.1,"[8885.5, 9130.0, 10386.4]",28401.9
P38716,1.05,0.98,0.97,"[42836.7, 40175.8, 39479.0]",122491.5
P33338,0.62,1.16,1.22,"[2208.7, 4098.7, 4299.1]",10606.5
P40455,0.86,1.1,1.04,"[21554.7, 27623.6, 26070.2]",75248.5
P34237,0.85,1.13,1.02,"[3902.6, 5200.9, 4695.0]",13798.5
P40008,2.66,0.19,0.15,"[39535.7, 2848.9, 2171.7]",44556.299999999996
Q06247,0.99,1.08,0.93,"[66713.0, 73249.2, 62739.8]",202702.0
P32449,0.95,1.01,1.03,"[28447.7, 30323.4, 30907.6]",89678.70000000001
Q07622,1.39,0.84,0.77,"[4549.6, 2736.8, 2532.6]",9819.0
P10659,1.08,0.93,0.99,"[18935.6, 16352.6, 17350.3]",52638.5
Q12219,1.06,1.0,0.94,"[26263.5, 24573.8, 23173.4]",74010.70000000001
"P0CX47, P0CX48",0.96,1.05,0.98,"[114455.4, 125129.3, 116941.9]",356526.6
P00890,0.69,1.35,0.95,"[6339.3, 12363.7, 8725.4]",27428.4
P47046,0.95,0.97,1.08,"[66491.5, 68220.3, 75436.5]",210148.3
P40531,0.89,1.07,1.04,"[49683.0, 60010.3, 57868.1]",167561.4
Q01560,1.07,1.04,0.89,"[14606.8, 14233.7, 12153.4]",40993.9
Q03690,1.4,1.15,0.45,"[9673.0, 7976.7, 3136.2]",20785.9
P27616,1.02,0.94,1.04,"[30371.2, 27828.7, 30821.0]",89020.9
P07278,0.84,1.14,1.01,"[29585.3, 39996.4, 35474.5]",105056.2
"P06169, P26263",0.62,1.29,1.09,"[5314.4, 11103.8, 9355.2]",25773.399999999998
"P18238, P18239",1.05,0.96,0.99,"[47041.6, 43000.2, 44015.7]",134057.5
P48589,0.97,1.04,0.99,"[257754.0, 278337.5, 263718.8]",799810.3
P47090,1.48,0.44,1.08,"[118690.3, 35472.6, 86599.4]",240762.3
P35724,0.74,1.22,1.04,"[66776.1, 110374.1, 94561.3]",271711.5
P40475,0.89,0.96,1.14,"[24338.3, 26205.8, 31178.2]",81722.3
P32497,1.29,0.54,1.17,"[6661.0, 2800.6, 6085.4]",15547.0
"P01119, P01120",0.91,1.0,1.09,"[152701.6, 167372.7, 183475.3]",503549.60000000003
P38221,0.82,1.09,1.09,"[46590.1, 61832.1, 61475.6]",169897.8
Q12068,0.98,0.75,1.27,"[14755.0, 11406.6, 19226.5]",45388.1
Q12172,1.34,0.44,1.22,"[8186.7, 2678.8, 7435.1]",18300.6
"P26784, P26785",0.3,0.41,2.29,"[5419.3, 7405.4, 41278.7]",54103.399999999994
Q06218,1.42,0.9,0.68,"[5509.7, 3503.8, 2666.3]",11679.8
P05030,1.23,0.89,0.88,"[13638.4, 9827.1, 9742.5]",33208.0
P28834,0.86,1.01,1.14,"[227591.3, 266676.3, 301542.0]",795809.6
Q6Q5F3,0.97,1.02,1.01,"[6214.8, 6547.3, 6488.1]",19250.2
Q12263,1.05,1.11,0.85,"[2585.3, 2741.4, 2089.8]",7416.500000000001
P26783,1.18,1.03,0.79,"[35057.9, 30746.3, 23543.3]",89347.5
P38720,0.51,1.1,1.38,"[3540.9, 7584.9, 9507.5]",20633.3
"P0C0W1, Q3E7Y3",2.0,0.29,0.7,"[25874.4, 3778.5, 9084.0]",38736.9
P53281,0.95,0.92,1.14,"[6746.6, 6543.1, 8101.7]",21391.4
